HIP,Plx,pmRA,pmDE,res_mean,res_std,res_range,n_measurements
2382,-1.03,-5.46,-1.24,0.4487012987012985,12.938191360772656,79.83,154
2547,8.45,35.96,-3.9,-0.29312499999999997,4.333877029953607,21.61,80
4415,1.96,17.68,12.15,0.06647540983606558,6.019917344114356,38.06,122
5123,2.17,15.29,-9.57,0.04494382022471908,5.137148157294063,29.86,89
6715,6.95,34.94,14.02,-0.7513513513513513,3.742633064891989,16.6,74
6858,1.73,1.39,-7.5,-0.16517647058823526,2.7675800034741997,16.93,85
7932,2.33,2.22,12.85,0.09529914529914524,5.361765434400664,39.91,117
8796,51.5,10.82,-234.24,0.033023255813953475,0.9578788696200419,5.49,86
10238,1.97,-1.62,-5.59,0.19538461538461538,6.149323294697329,39.12,130
10245,19.66,278.14,-7.9,-1.1134042553191488,6.262641847502476,36.91,94
10324,8.51,-26.87,-17.23,-0.041935483870967766,1.455168108940555,7.52,62
12371,3.07,0.7,0.39,-0.39576923076923076,6.33255119628998,54.45,182
14159,6.23,46.3,-12.27,-0.7615079365079369,7.939139103702398,42.03,126
14460,6.78,-28.09,-31.75,0.08185567010309289,5.192853729304523,27.869999999999997,97
16641,24.76,95.31,-308.87,0.16681318681318683,1.5097195318048529,7.27,91
18361,2.44,13.5,-7.22,-0.4493037974683547,5.024100403309358,28.130000000000003,158
19158,0.98,2.93,10.41,-0.1266187050359712,6.143170539802461,36.55,139
19828,9.74,21.39,-3.23,-0.004509803921568473,6.458692830634954,33.85,153
22340,2.43,-1.46,-0.37,-0.4736363636363637,4.847005833979247,32.31,110
22505,23.69,90.21,-20.56,0.6181818181818183,3.294549302240764,17.21,66
23502,7.08,-15.73,-6.29,0.27818181818181825,3.9707573704621173,23.37,110
23773,7.16,-15.93,0.7,1.0132089552238808,7.431123292247334,52.44,134
24247,2.88,-6.66,2.15,-0.27851851851851855,4.228283076826548,22.060000000000002,81
24833,1.96,8.3,5.7,-0.4269747899159665,5.764507498715645,28.53,119
25962,2.61,1.07,-1.13,-0.4319587628865979,3.8589575554738165,19.21,97
27213,8.0,24.25,-36.02,0.5862931034482759,7.093540175849207,42.34,116
27628,37.41,54.77,404.2,-0.17025210084033612,0.6497319684468514,3.2199999999999998,119
28234,2.96,-12.78,3.33,-0.1781159420289855,5.282933196892646,26.77,69
28654,12.19,14.58,17.95,-0.09507692307692307,2.6740841353684477,14.52,130
29047,3.07,25.62,-7.0,-0.2849618320610687,3.2033000709714736,20.86,131
29823,5.2,6.21,7.58,0.35725806451612907,4.422182689322018,26.71,124
29969,0.79,-2.57,-0.77,0.4514893617021277,2.4942859246844895,14.25,94
33030,6.1,-18.51,-13.38,0.7076000000000002,5.011518877001807,27.979999999999997,100
37890,1.54,-3.27,1.38,-0.07978571428571432,6.612090692291862,40.379999999999995,280
38042,2.59,-13.46,-1.82,-0.4036781609195401,4.7098701692821905,24.740000000000002,87
38064,2.61,-1.58,3.81,0.4282035928143712,14.008982415569879,71.95,167
39269,-0.57,-4.77,1.67,-0.10607929515418502,7.141485186307595,45.45,227
40400,-0.02,0.79,2.31,0.5841346153846151,7.000246682279898,35.18,104
42585,4.36,-31.34,28.48,0.07221374045801533,4.218876498288346,23.35,131
44455,8.37,-69.34,18.75,0.15370786516853926,7.232951802502474,51.59,89
44513,3.51,3.86,-35.97,-0.4616091954022987,19.779628562388176,162.25,174
46159,9.47,-38.66,-31.9,-0.17704918032786887,3.1777014117163556,26.64,122
46750,9.91,-20.17,-39.47,0.06914634146341463,0.9121947501879195,7.43,82
47811,10.31,1.81,-20.53,0.4917557251908396,3.417686910293846,22.73,131
49674,25.92,-179.81,37.46,-0.05825581395348843,3.301674153538212,18.48,86
49892,4.69,-30.87,3.31,-0.1493846153846154,2.567069560801584,12.81,130
50149,5.1,8.5,-15.68,-0.014217687074829961,2.926134699745534,17.15,147
51301,9.56,-22.13,7.73,-0.7059183673469388,6.122925794252875,32.53,98
54166,7.19,-63.44,-10.96,0.3211851851851852,2.48140308523639,15.09,135
54523,1.76,-31.35,-4.05,-0.05626373626373626,2.7944976286153826,14.239999999999998,91
58495,4.9,-0.7,17.29,-0.25457746478873244,3.7987223726102193,22.9,142
59194,1.0,-28.11,-2.02,-0.24625,6.613300854919155,44.17,216
62404,4.38,-9.62,-22.83,-0.4425352112676054,4.070799050488336,28.810000000000002,71
64219,36.58,136.38,-341.25,0.1554285714285715,3.788275441962454,18.08,105
66447,8.22,-28.92,-19.73,-0.12276595744680857,2.7999337182075443,14.84,94
67637,2.49,-6.15,-1.74,1.1194690265486724,10.68230620170469,78.53,113
68097,2.73,24.75,-31.71,-1.076280487804878,9.528908238372455,53.230000000000004,164
70455,6.06,-21.55,-20.62,-0.08583333333333328,2.936606228344358,22.63,96
70530,1.34,-8.91,-6.62,-0.313828125,4.987958274660478,36.83,128
70638,10.91,-96.12,-13.27,-0.008580246913580244,1.2133250179199708,6.75,162
72044,38.54,2.05,118.49,1.07010101010101,8.292259544722402,41.7,99
72951,9.28,21.6,7.81,-0.016977777777777668,5.612868324252478,61.16,225
73114,14.73,-6.71,139.09,-0.2144444444444445,3.9340710466385835,23.71,81
76182,2.44,12.55,-27.54,-0.29518987341772146,6.591858198927517,36.16,79
77592,5.16,16.4,-18.54,0.4138053097345133,8.589726039056366,61.84,113
80638,3.69,-11.02,-6.36,-0.09010344827586206,3.7235793588772323,24.69,290
81076,3.92,-2.68,-4.87,0.8165384615384615,7.218511302884013,41.400000000000006,52
84598,5.41,-3.54,9.52,0.3071495327102804,9.514881539458564,60.31,214
85114,8.85,-38.2,-39.93,-0.19252252252252247,5.103828414839638,29.29,111
86028,3.15,-2.46,-2.71,-0.05461538461538465,3.1931591141383997,14.45,91
88484,0.48,4.07,-2.02,-0.2377380952380953,3.8289226995348433,19.45,84
88941,2.5,-1.86,-27.25,0.30249999999999994,3.594567428773593,28.54,76
89809,1.3,3.14,1.7,0.547153846153846,7.449981242847766,49.019999999999996,130
90189,16.84,-133.46,50.48,-3.9246153846153846,31.0111845216297,214.89000000000001,78
90980,3.99,-0.86,-2.95,-0.4506870229007633,5.53630384765861,32.84,131
96763,3.62,6.0,-9.49,-0.2601492537313434,3.2167626736515578,16.87,67
97779,28.49,132.6,67.68,-0.7875657894736842,3.3794544794129924,19.009999999999998,152
98151,12.88,-89.46,-159.62,-0.2722395833333333,5.117063916499907,32.79,192
98707,10.26,48.54,-68.61,0.34767857142857145,4.782509417781509,35.3,56
99139,17.95,-41.52,-279.98,0.6060194174757283,6.700889221033313,48.480000000000004,103
100146,0.92,-3.94,-6.13,-0.5407092198581559,3.551969402496526,20.25,141
101070,14.3,-18.26,-6.37,-0.3823000000000001,3.3317435163268283,26.189999999999998,100
103236,8.92,30.65,-67.11,0.1855371900826446,5.594973480785115,41.11,121
103239,12.21,187.56,13.73,-0.5889937106918242,7.780512917504466,51.18,159
103492,5.52,26.93,4.4,0.018606557377049217,5.9684894770211345,37.72,122
103936,7.06,42.82,-23.64,0.26216216216216204,7.652274846704579,43.8,74
106213,26.8,153.41,-80.45,-0.0985943775100402,3.5872923161376007,22.21,249
108657,3.49,-5.54,-24.24,-0.5003921568627451,3.2138593377957996,14.59,51
108817,2.72,-27.34,-34.44,-0.16365591397849466,2.811437348986178,15.04,93
109513,4.25,11.28,9.37,0.4738650306748466,8.195640238562357,74.53999999999999,163
109879,2.6,-2.66,7.21,-0.5644444444444445,5.702039328170229,26.8,81
110568,4.49,34.75,-9.06,-0.2691216216216217,5.773566427367924,40.3,148
112526,5.35,4.33,-0.58,0.0029333333333332943,4.147213252988779,23.05,75
113148,24.28,-219.73,-87.78,0.08574999999999999,2.2303157379929957,11.85,80
114934,5.83,11.52,-23.13,0.3678823529411765,4.7449015480070935,24.72,85
115099,29.93,-60.25,64.52,-2.3743292682926826,15.115304766946174,88.53,164
116221,17.4,440.54,30.0,0.18814285714285706,4.430500659581593,25.93,140
116626,2.45,-37.23,-8.23,-0.3643537414965986,3.3930067217345603,20.36,147
117155,2.6,-21.35,-29.19,-0.20526717557251908,3.255762779168956,21.79,131
117185,4.38,18.93,-4.16,-0.6119354838709677,5.322515598863028,35.1,93
